"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-03-31,1373,"Seneca County","NY","Seneca Falls",1153,109600,0,0.0120036934441367,0.0528338136407301,0.0322854087020592,0.02383333634424,"2019-03","2019-Q1",109600,0,"2019-03"
2019-03-31,2182,"Chambers County","TX","Houston-The Woodlands-Sugar Land",1154,234100,0.00385934819897084,0.0178260869565217,0.151500245941958,0.0584713368497278,0.0366723682754211,"2019-03","2019-Q1",234100,0,"2019-03"
2019-03-31,180,"Hill County","TX",,1155,92600,-0.0021551724137931,-0.0043010752688172,0.108982035928144,0.0602946934514985,0.0318159376618372,"2019-01","2019-Q1",93100,-0.00537056928034372,"2018-12"
2019-03-31,896,"Bureau County","IL","Ottawa-Peru",1156,78200,-0.00382165605095541,-0.0126262626262626,-0.011378002528445,0.0175072666594274,-0.00521791806036476,"2009-05","2009-Q2",82800,-0.0555555555555556,"2005-07"
2019-03-31,2665,"Clarendon County","SC",,1157,106200,0.00473036896877956,0.00568181818181818,0.0211538461538462,0.0502790401520929,0.0102540285975139,"2019-03","2019-Q1",106200,0,"2019-03"
2019-03-31,1908,"Madison County","NE","Norfolk",1158,163700,-0.0012202562538133,-0.00365185636031649,0.0315059861373661,0.0515842070732273,0.042082108881522,"2018-09","2018-Q3",165500,-0.0108761329305136,"2018-08"
2019-03-31,1987,"Pulaski County","VA","Blacksburg-Christiansburg-Radford",1159,118500,-0.00336417157275021,0,0.0646900269541779,0.0254639843584628,0.00710540713568153,"2006-11","2006-Q4",122900,-0.0358014646053702,"2006-07"
2019-03-31,1873,"Lincoln County","MS","Brookhaven",1160,121900,0.0166805671392827,0.0499569336778639,-0.00570962479608483,0.0467582543677223,0.0229013318384124,"2018-04","2018-Q2",123700,-0.0145513338722716,"2018-03"
2019-03-31,1659,"De Soto County","FL","Arcadia",1161,124900,0.00321285140562249,0.0195918367346939,0.111209964412811,0.0926413048545989,0.0301523230193084,"2006-09","2006-Q3",158900,-0.213971050975456,"2005-07"
2019-03-31,2657,"Christian County","IL","Taylorville",1162,77400,-0.00386100386100386,-0.010230179028133,-0.0214917825537295,0.0302035102944946,0.00796045032381998,"2017-12","2017-Q4",80600,-0.0397022332506203,"2017-09"
2019-03-31,1091,"Harvey County","KS","Wichita",1163,132200,-0.00376789751318764,0.0279937791601866,0.113732097725358,0.0453629387863252,0.0329453770225006,"2019-02","2019-Q1",132700,-0.00376789751318764,"2019-02"
2019-03-31,1921,"McClain County","OK","Oklahoma City",1164,165300,0.00242571255306246,0.00608642726719416,0.0569053708439898,0.0484131712847216,0.0307556379768883,"2019-03","2019-Q1",165300,0,"2019-03"
2019-03-31,1344,"Putnam County","OH",,1165,144900,-0.00412371134020619,-0.00343878954607978,0.0733333333333333,0.0599563616946406,0.0327326526537461,"2019-01","2019-Q1",145900,-0.00685400959561343,"2018-12"
2019-03-31,357,"Adams County","IN","Decatur",1166,127800,0.0062992125984252,0.0167064439140811,0.0694560669456067,0.0469535869653319,0.0230062984393047,"2019-03","2019-Q1",127800,0,"2019-03"
2019-03-31,521,"Geary County","KS","Junction City",1167,132600,0,0.00302571860816944,0.0523809523809524,0.0164697617262775,0.00221374536692731,"2019-03","2019-Q1",132600,0,"2019-03"
2019-03-31,1879,"Lincoln County","OK","Oklahoma City",1168,86600,-0.00574052812858783,-0.0192525481313703,0.0825,0.0593869993808069,0.0252302502652779,"2018-12","2018-Q4",88300,-0.0192525481313703,"2018-10"
2019-03-31,2690,"Effingham County","IL","Effingham",1169,128800,0.00389711613406079,0.011783189316575,0.0165745856353591,0.0314972396612023,,"2019-03","2019-Q1",128800,0,"2019-03"
2019-03-31,2038,"Steuben County","IN","Angola",1170,163200,0.00492610837438424,0.0149253731343284,0.110204081632653,0.0652085375334479,0.0279331804822129,"2019-03","2019-Q1",163200,0,"2019-03"
2019-03-31,2925,"Evangeline Parish","LA",,1171,59000,-0.00337837837837838,0.00169779286926995,0.0369068541300527,0.0478690814827936,,"2019-01","2019-Q1",59300,-0.00505902192242833,"2019-01"
2019-03-31,622,"Macon County","NC",,1172,183700,0.00108991825613079,0.00823271130625686,0.0844155844155844,0.0325687157759778,0.00677839244404987,"2007-05","2007-Q2",188200,-0.0239107332624867,"2006-09"
2019-03-31,147,"Dare County","NC","Kill Devil Hills",1173,323100,-0.00185356811862836,-0.00370027752081406,0.090080971659919,0.0289748734243143,0.0109364548399793,"2006-03","2006-Q1",372800,-0.133315450643777,"2005-07"
2019-03-31,1011,"Fannin County","TX","Bonham",1174,100000,0.00200400801603206,0.0141987829614604,0.111111111111111,0.0493382184358047,0.0266144338958274,"2019-03","2019-Q1",100000,0,"2019-03"
2019-03-31,161,"Ford County","KS","Dodge City",1175,109200,-0.000914913083257091,-0.00636942675159236,-0.00636942675159236,0.0491700749906963,,"2018-08","2018-Q3",118100,-0.0753598645215919,"2018-03"
2019-03-31,3073,"Washington County","TX","Brenham",1176,187300,-0.00213106020245072,0.00428954423592493,0.0234972677595628,0.0558999294269396,0.0356888438725176,"2019-02","2019-Q1",187700,-0.00213106020245072,"2019-01"
2019-03-31,246,"Lyon County","KS","Emporia",1177,95200,0,0.00634249471458774,0.0855188141391106,0.0300510715771565,0.00529823440140453,"2007-05","2007-Q2",96700,-0.015511892450879,"2007-01"
2019-03-31,1037,"Gibson County","IN",,1178,109600,0,0.00182815356489945,0.0894632206759443,0.0581959654186066,0.0375621844922338,"2019-03","2019-Q1",109600,0,"2019-03"
2019-03-31,1292,"Orange County","VA",,1179,217900,-0.000917010545621275,0.00091869545245751,0.0496146435452794,0.0291935741993228,0.00740632258747387,"2005-12","2005-Q4",266200,-0.181442524417731,"2004-07"
2019-03-31,1117,"Jasper County","IN","Chicago-Naperville-Elgin",1180,169600,-0.00235294117647059,-0.000589275191514437,0.0775095298602287,0.0610653982841558,0.0347701213191487,"2019-01","2019-Q1",170200,-0.00352526439482961,"2018-12"
